Year,Population,GDP_USD,Inflation,Mobile_subs_per100,School_primary,Events,Fatalities,GDP_per_capita,Events_per_100k,Fatalities_per_100k,Events_3yr_avg,Fatalities_3yr_avg,Events_per_100k_3yr_avg,Fatalities_per_100k_3yr_avg,GDP_USD_3yr_avg,Inflation_3yr_avg
2000,27816745.0,12257299147.0,9.85313692,0.082684,,177,1393,440.64462420027934,0.6363073752877988,5.007774993084202,177.0,1393.0,0.6363073752877988,5.007774993084202,12257299147.0,9.85313692
2015,40024431.0,51726758677.0,14.02255744,69.8036,55.01688004,1188,3495,1292.379613766402,2.968187105520626,8.732166610938204,682.5,2444.0,1.8022472404042125,6.869970802011203,31992028912.0,11.93784718
2016,41259892.0,42630376000.0,20.68558773,67.3955,55.38262177,1190,3889,1033.2158891739223,2.884156846556942,9.425618467445334,851.6666666666666,2925.6666666666665,2.162883775788455,7.721853357155912,35538144608.0,14.853760696666669
2017,42714306.0,41283617976.0,34.62237073,67.0598,56.86981964,594,1291,966.5056474521674,1.3906347910697647,3.0224065913654314,990.6666666666666,2891.6666666666665,2.4143262477157776,7.060063889916324,45213584217.666664,23.11017196666667
2018,44230596.0,32333780383.0,55.97532544,68.0534,58.91400909,502,1033,731.0274630484292,1.13496096683843,2.3354874078567693,762.0,2071.0,1.8032508681550452,4.927837488889178,38749258119.666664,37.09442796666667
2019,45548175.0,32338079165.0,51.97889335,72.4819,60.12343979,461,742,709.9752990103335,1.0121151945165752,1.6290444128661576,519.0,1022.0,1.1792369841415897,2.3289794706961193,35318492508.0,47.52552984
2020,46789231.0,27034593750.0,115.652915,75.2207,,435,948,577.7952142449188,0.9297011100695372,2.0261072467722325,466.0,907.6666666666666,1.0255924238081806,1.996879689165053,30568817766.0,74.53571126333333
2021,48066924.0,34229513775.0,235.5154436,71.7672,,683,1634,712.121994222056,1.4209355273077178,3.3994270155502355,526.3333333333334,1108.0,1.1209172772979432,2.3515262250628752,31200728896.666668,134.38241731666668
2022,49383346.0,51666875363.0,116.8740754,70.2084,,909,2129,1046.2408797289677,1.8407015190910716,4.311170004559837,675.6666666666666,1570.3333333333333,1.3971127188227754,3.245568088960768,37643660962.666664,156.01414466666668
2023,50042791.0,39898289821.0,29.68966986,,,4883,17011,797.28346528474,9.75764920865425,33.992908189313425,2158.3333333333335,6924.666666666667,4.3397620850176795,13.901168403141165,41931559653.0,127.35972962000001
2024,50448963.0,49909807030.0,243.6691074,,,5949,16640,989.3128433581479,11.792115528717607,32.98382961806371,3913.6666666666665,11926.666666666666,7.796822085487643,23.762635937312325,47158324071.333336,130.07761755333334
